OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,LatitudeMeasure,LongitudeMeasure
USGS-CA,USGS California Water Science Center,nwisca.01.02201205,Sample-Routine,Water,Surface Water,2022-01-11,13:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455140,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Chlorophyll a,NA,0.7,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-02-04,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-01-11T21:45:00Z,NA,38.34916667000000,-121.6447222000000
USGS-CA,USGS California Water Science Center,nwisca.01.02201304,Sample-Routine,Water,Surface Water,2022-01-18,14:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Ammonia and ammonium,Dissolved,0.03,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,DL and/or RL censoring was not applied. Final result or value-qualifier code has been updated with accurate censoring. Please see Technical Memorandum 2022.04 for more information.,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-02-10,below the reporting level but at or above the detection levelsee result laboratory comment,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-01-18T22:15:00Z,NA,38.24301110000000,-121.6842860000000
USGS-CA,USGS California Water Science Center,nwisca.01.02201304,Sample-Routine,Water,Surface Water,2022-01-18,14:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.45,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-02-09,NA,Detection limit by DQCALC,0.01,mg/l as N,NA,NWIS,2022-01-18T22:15:00Z,NA,38.24301110000000,-121.6842860000000
USGS-CA,USGS California Water Science Center,nwisca.01.02201304,Sample-Routine,Water,Surface Water,2022-01-18,14:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.06,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-02-10,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-01-18T22:15:00Z,NA,38.24301110000000,-121.6842860000000
USGS-CA,USGS California Water Science Center,nwisca.01.02201304,Sample-Routine,Water,Surface Water,2022-01-18,14:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Chlorophyll a,NA,1,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-02-11,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-01-18T22:15:00Z,NA,38.24301110000000,-121.6842860000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203712,Sample-Routine,Water,Surface Water,2022-05-17,09:46:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11311300,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Mulitple samplers used,NA,Chlorophyll a,NA,1.5,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-06-06,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-05-17T17:46:00Z,NA,37.99250000000000,-121.4538889000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203710,Sample-Routine,Water,Surface Water,2022-05-17,08:35:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11313460,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Mulitple samplers used,NA,Chlorophyll a,NA,2,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-06-06,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-05-17T16:35:00Z,NA,38.05944444000000,-121.5572222000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202069,Sample-Routine,Water,Surface Water,2022-02-24,12:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11336790,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Chlorophyll a,NA,1.2,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-03-11,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-02-24T20:45:00Z,NA,38.09638889000000,-121.4961110000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203381,Sample-Routine,Water,Surface Water,2022-04-25,10:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.065,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-05-05,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-04-25T18:00:00Z,NA,38.24301110000000,-121.6842860000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203480,Sample-Routine,Water,Surface Water,2022-05-04,09:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11312676,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Ammonia and ammonium,Dissolved,0.03,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-05-12,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-05-04T17:45:00Z,NA,37.94270170000000,-121.5341175000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203303,Sample-Routine,Water,Surface Water,2022-04-13,09:33:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Grab sample,NA,Chlorophyll a,NA,1.9,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-04-28,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-04-13T17:33:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203380,Sample-Routine,Water,Surface Water,2022-04-22,13:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11336790,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Ammonia and ammonium,Dissolved,0.04,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-05-05,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-04-22T21:00:00Z,NA,38.09638889000000,-121.4961110000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203380,Sample-Routine,Water,Surface Water,2022-04-22,13:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11336790,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.16,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00631,NA,NA,NA,NA,NA,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-05-25,holding time exceededsee result laboratory comment,Detection limit by DQCALC,0.01,mg/l as N,NA,NWIS,2022-04-22T21:00:00Z,NA,38.09638889000000,-121.4961110000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203380,Sample-Routine,Water,Surface Water,2022-04-22,13:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11336790,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.066,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-05-05,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-04-22T21:00:00Z,NA,38.09638889000000,-121.4961110000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203722,Sample-Routine,Water,Surface Water,2022-05-18,08:57:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11336685,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Mulitple samplers used,NA,Chlorophyll a,NA,1.8,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-06-07,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-05-18T16:57:00Z,NA,38.22333330000000,-121.5072222000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203720,Sample-Routine,Water,Surface Water,2022-05-17,15:40:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455485,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Mulitple samplers used,NA,Chlorophyll a,NA,2.9,ug/l,NA,Preliminary,NA,Estimated,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-06-08,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-05-17T23:40:00Z,NA,38.07780830000000,-121.7672860000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204026,Sample-Routine,Water,Surface Water,2022-06-01,09:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-06-30,holding time exceededsee result laboratory comment,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-06-01T17:15:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204026,Sample-Routine,Water,Surface Water,2022-06-01,09:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.05,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-07-01,NA,Detection limit by DQCALC,0.01,mg/l as N,NA,NWIS,2022-06-01T17:15:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204026,Sample-Routine,Water,Surface Water,2022-06-01,09:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.027,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-06-30,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-06-01T17:15:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204026,Sample-Routine,Water,Surface Water,2022-06-01,09:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Chlorophyll a,NA,1.2,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-06-17,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-06-01T17:15:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204008,Sample-Routine,Water,Surface Water,2022-05-24,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11336790,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Chlorophyll a,NA,21.4,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-06-14,sample was diluted,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-05-24T19:15:00Z,NA,38.09638889000000,-121.4961110000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203384,Sample-Routine,Water,Surface Water,2022-04-26,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455095,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-05-05,NA,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-04-26T19:45:00Z,NA,38.47686944000000,-121.5836417000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203384,Sample-Routine,Water,Surface Water,2022-04-26,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455095,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.11,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-05-25,NA,Detection limit by DQCALC,0.01,mg/l as N,NA,NWIS,2022-04-26T19:45:00Z,NA,38.47686944000000,-121.5836417000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203384,Sample-Routine,Water,Surface Water,2022-04-26,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455095,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.1,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-05-05,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-04-26T19:45:00Z,NA,38.47686944000000,-121.5836417000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202387,Sample-Routine,Water,Surface Water,2022-03-10,09:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.11,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-03-22,NA,Detection limit by DQCALC,0.01,mg/l as N,NA,NWIS,2022-03-10T17:45:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202387,Sample-Routine,Water,Surface Water,2022-03-10,09:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.013,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-03-24,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-03-10T17:45:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202387,Sample-Routine,Water,Surface Water,2022-03-10,09:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Chlorophyll a,NA,2.6,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-03-29,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-03-10T17:45:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203382,Sample-Routine,Water,Surface Water,2022-04-25,12:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455140,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.162,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-05-05,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-04-25T20:30:00Z,NA,38.34916667000000,-121.6447222000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203382,Sample-Routine,Water,Surface Water,2022-04-25,12:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455140,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Chlorophyll a,NA,0.8,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2022-05-18,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2022-04-25T20:30:00Z,NA,38.34916667000000,-121.6447222000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204105,Sample-Routine,Water,Surface Water,2022-06-07,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455095,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-07-13,holding time exceededsee result laboratory comment,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-06-07T19:45:00Z,NA,38.47686944000000,-121.5836417000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204105,Sample-Routine,Water,Surface Water,2022-06-07,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455095,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.01,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00631,NA,NA,NA,NA,NA,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-07-15,holding time exceededbelow the reporting level but at or above the detection levelsee result laboratory comment,Detection limit by DQCALC,0.01,mg/l as N,NA,NWIS,2022-06-07T19:45:00Z,NA,38.47686944000000,-121.5836417000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204105,Sample-Routine,Water,Surface Water,2022-06-07,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11455095,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Submersible centrifugal pump,NA,Orthophosphate,Dissolved,0.102,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-07-13,holding time exceededsee result laboratory comment,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-06-07T19:45:00Z,NA,38.47686944000000,-121.5836417000000
